TckrSymb;Asst;XprtnDt;OptnTp;ExrcPric;OptnStyle
BBDCA120;BBDC4;2026-01-16;Call;11.98;AMER
BBDCA141;BBDC4;2025-01-17;Call;14.23;EURO
BBDCA169;BBDC4;2025-01-17;Call;16.98;AMER
BBDCA180;BBDC4;2026-01-16;Call;17.98;AMER
BBDCA200;BBDC4;2026-01-16;Call;19.98;AMER
BBDCA220;BBDC4;2026-01-16;Call;21.98;AMER
BBDCA751;BBDC4;2025-01-17;Call;15.73;EURO
BBDCB101;BBDC4;2024-02-16;Call;9.48;AMER
BBDCB110;BBDC4;2024-02-16;Call;9.98;AMER
BBDCB110W2;BBDC4;2024-02-09;Call;10.98;AMER
BBDCB110W4;BBDC4;2024-02-23;Call;10.98;AMER
BBDCB111;BBDC4;2024-02-16;Call;10.48;AMER
BBDCB115W2;BBDC4;2024-02-09;Call;11.48;AMER
BBDCB115W4;BBDC4;2024-02-23;Call;11.48;AMER
BBDCB116;BBDC4;2024-02-16;Call;10.98;AMER
BBDCB120W2;BBDC4;2024-02-09;Call;11.98;AMER
BBDCB120W4;BBDC4;2024-02-23;Call;11.98;AMER
BBDCB121;BBDC4;2024-02-16;Call;11.48;AMER
BBDCB125W2;BBDC4;2024-02-09;Call;12.48;AMER
BBDCB125W4;BBDC4;2024-02-23;Call;12.48;AMER
BBDCB126;BBDC4;2024-02-16;Call;11.98;AMER
BBDCB128;BBDC4;2024-02-16;Call;12.23;EURO
BBDCB13;BBDC4;2024-02-16;Call;13.23;EURO
BBDCB130W2;BBDC4;2024-02-09;Call;12.98;AMER
BBDCB130W4;BBDC4;2024-02-23;Call;12.98;AMER
BBDCB131;BBDC4;2024-02-16;Call;12.48;AMER
BBDCB133;BBDC4;2024-02-16;Call;12.73;EURO
BBDCB135W2;BBDC4;2024-02-09;Call;13.48;AMER
BBDCB135W4;BBDC4;2024-02-23;Call;13.48;AMER
BBDCB137;BBDC4;2024-02-16;Call;13.48;AMER
BBDCB140;BBDC4;2024-02-16;Call;12.98;AMER
BBDCB140W2;BBDC4;2024-02-09;Call;13.98;AMER
BBDCB140W4;BBDC4;2024-02-23;Call;13.98;AMER
BBDCB143;BBDC4;2024-02-16;Call;13.73;EURO
BBDCB144;BBDC4;2025-02-21;Call;13.48;AMER
BBDCB145W2;BBDC4;2024-02-09;Call;14.48;AMER
BBDCB145W4;BBDC4;2024-02-23;Call;14.48;AMER
BBDCB146;BBDC4;2024-02-16;Call;13.98;AMER
BBDCB147W4;BBDC4;2024-02-23;Call;14.73;EURO
BBDCB149;BBDC4;2024-02-16;Call;14.23;EURO
BBDCB150W2;BBDC4;2024-02-09;Call;14.98;AMER
BBDCB150W4;BBDC4;2024-02-23;Call;14.98;AMER
BBDCB151;BBDC4;2024-02-16;Call;14.48;AMER
BBDCB154;BBDC4;2024-02-16;Call;14.73;EURO
